commit_hash,commit_date,author,file_path,is_fix_like,snapshot_path
5ce31d6a7142ca8c76d6b52fa42b3406b9a8ff48,2020-12-09T21:27:32+01:00,Mariusz Felisiak,django/core/cache/__init__.py,1,snapshots\5ce31d6a7142ca8c76d6b52fa42b3406b9a8ff48\django\core\cache\__init__.py
5ce31d6a7142ca8c76d6b52fa42b3406b9a8ff48,2020-12-09T21:27:32+01:00,Mariusz Felisiak,django/core/cache/backends/memcached.py,1,snapshots\5ce31d6a7142ca8c76d6b52fa42b3406b9a8ff48\django\core\cache\backends\memcached.py
5ce31d6a7142ca8c76d6b52fa42b3406b9a8ff48,2020-12-09T21:27:32+01:00,Mariusz Felisiak,tests/cache/tests.py,1,snapshots\5ce31d6a7142ca8c76d6b52fa42b3406b9a8ff48\tests\cache\tests.py
5ce31d6a7142ca8c76d6b52fa42b3406b9a8ff48,2020-12-09T21:27:32+01:00,Mariusz Felisiak,tests/runtests.py,1,snapshots\5ce31d6a7142ca8c76d6b52fa42b3406b9a8ff48\tests\runtests.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,django/contrib/gis/db/backends/mysql/features.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\django\contrib\gis\db\backends\mysql\features.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,django/contrib/gis/db/backends/spatialite/features.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\django\contrib\gis\db\backends\spatialite\features.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,django/db/backends/base/creation.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\django\db\backends\base\creation.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,django/db/backends/base/features.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\django\db\backends\base\features.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,django/db/backends/mysql/features.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\django\db\backends\mysql\features.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,django/db/backends/oracle/features.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\django\db\backends\oracle\features.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,django/db/backends/postgresql/features.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\django\db\backends\postgresql\features.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,django/db/backends/sqlite3/features.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\django\db\backends\sqlite3\features.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,tests/aggregation/tests.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\tests\aggregation\tests.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,tests/annotations/tests.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\tests\annotations\tests.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,tests/backends/base/test_creation.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\tests\backends\base\test_creation.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,tests/db_functions/comparison/test_greatest.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\tests\db_functions\comparison\test_greatest.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,tests/db_functions/comparison/test_least.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\tests\db_functions\comparison\test_least.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,tests/db_functions/text/test_sha224.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\tests\db_functions\text\test_sha224.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,tests/expressions/tests.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\tests\expressions\tests.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,tests/expressions_window/tests.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\tests\expressions_window\tests.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,tests/gis_tests/geoapp/tests.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\tests\gis_tests\geoapp\tests.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,tests/gis_tests/geogapp/tests.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\tests\gis_tests\geogapp\tests.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,tests/indexes/tests.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\tests\indexes\tests.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,tests/model_fields/test_charfield.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\tests\model_fields\test_charfield.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,tests/model_fields/test_decimalfield.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\tests\model_fields\test_decimalfield.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,tests/model_fields/test_integerfield.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\tests\model_fields\test_integerfield.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,tests/model_fields/test_jsonfield.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\tests\model_fields\test_jsonfield.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,tests/model_fields/test_textfield.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\tests\model_fields\test_textfield.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,tests/queries/test_explain.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\tests\queries\test_explain.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,tests/runtests.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\tests\runtests.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,tests/schema/tests.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\tests\schema\tests.py
275dd4ebbabbbe758c7219a3d666953d5a7b072f,2020-12-10T18:00:57+01:00,Hasan Ramezani,tests/servers/test_liveserverthread.py,1,snapshots\275dd4ebbabbbe758c7219a3d666953d5a7b072f\tests\servers\test_liveserverthread.py
00a1d42bf0d83ba4b329271433eb5e3fd0f704fe,2020-12-10T18:48:07+01:00,Mariusz Felisiak,tests/test_runner/tests.py,1,snapshots\00a1d42bf0d83ba4b329271433eb5e3fd0f704fe\tests\test_runner\tests.py
3f140dde51c0fe6c350acb7727bbe489a99f0632,2020-12-11T07:24:10+01:00,Hasan Ramezani,django/db/backends/base/features.py,1,snapshots\3f140dde51c0fe6c350acb7727bbe489a99f0632\django\db\backends\base\features.py
8d7085e0fd004af5431389f3d903aba6220d7957,2020-12-09T21:45:18+07:00,sage,django/db/models/fields/json.py,1,snapshots\8d7085e0fd004af5431389f3d903aba6220d7957\django\db\models\fields\json.py
8d7085e0fd004af5431389f3d903aba6220d7957,2020-12-09T21:45:18+07:00,sage,tests/model_fields/test_jsonfield.py,1,snapshots\8d7085e0fd004af5431389f3d903aba6220d7957\tests\model_fields\test_jsonfield.py
1e7653117f273391705b10c78214e27703e484b8,2020-12-11T15:06:33-05:00,Tim Graham,tests/backends/base/test_creation.py,1,snapshots\1e7653117f273391705b10c78214e27703e484b8\tests\backends\base\test_creation.py
5a434677a7ed5e37ff29987426f022b93736b941,2020-12-14T06:28:38-05:00,Tim Graham,tests/gis_tests/geoapp/test_functions.py,0,snapshots\5a434677a7ed5e37ff29987426f022b93736b941\tests\gis_tests\geoapp\test_functions.py
ef39a8829b6a81116876fe97cff8de6b8ec15f49,2020-12-14T07:34:35+01:00,Adam Johnson,django/utils/inspect.py,0,snapshots\ef39a8829b6a81116876fe97cff8de6b8ec15f49\django\utils\inspect.py
cf2ca22a5797cdd53a10954e9811893325b24a30,2020-12-13T16:56:04+00:00,Adam Johnson,django/core/checks/registry.py,0,snapshots\cf2ca22a5797cdd53a10954e9811893325b24a30\django\core\checks\registry.py
cf2ca22a5797cdd53a10954e9811893325b24a30,2020-12-13T16:56:04+00:00,Adam Johnson,tests/check_framework/tests.py,0,snapshots\cf2ca22a5797cdd53a10954e9811893325b24a30\tests\check_framework\tests.py
28124e7bdf165689f92d667af1b77169ec75486c,2020-12-11T14:05:36+01:00,Petter Strandmark,tests/servers/test_basehttp.py,1,snapshots\28124e7bdf165689f92d667af1b77169ec75486c\tests\servers\test_basehttp.py
772eca0b0219f63129282c3596fc210951433c13,2020-12-03T08:46:03+01:00,Petter Strandmark,django/core/servers/basehttp.py,1,snapshots\772eca0b0219f63129282c3596fc210951433c13\django\core\servers\basehttp.py
772eca0b0219f63129282c3596fc210951433c13,2020-12-03T08:46:03+01:00,Petter Strandmark,tests/servers/test_basehttp.py,1,snapshots\772eca0b0219f63129282c3596fc210951433c13\tests\servers\test_basehttp.py
593829a5aba605481a66c7c87e0e45061ee08bb5,2020-12-15T11:35:02+05:30,Abhishek Ghaskata,django/core/cache/backends/base.py,1,snapshots\593829a5aba605481a66c7c87e0e45061ee08bb5\django\core\cache\backends\base.py
965d2d95c630939b53eb60d9c169f5dfc77ee0c6,2020-12-15T08:51:58+01:00,Mariusz Felisiak,tests/servers/tests.py,1,snapshots\965d2d95c630939b53eb60d9c169f5dfc77ee0c6\tests\servers\tests.py
