snapshot_path,rel_path,radon_total_complexity,radon_num_items,pylint_msgs_count,pylint_rc,bandit_issues_count,bandit_rc
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\misc.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\misc.py,1,1,4,10,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\predicates.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\predicates.py,2,2,4,10,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\topology.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\topology.py,1,1,4,10,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\__init__.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\prototypes\__init__.py,0,0,5,2,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\prototypes\ds.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\prototypes\ds.py,0,0,3,2,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\prototypes\errcheck.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\prototypes\errcheck.py,22,12,22,30,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\prototypes\generation.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\gdal\prototypes\generation.py,23,12,5,26,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\db\backends\oracle\models.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\db\backends\oracle\models.py,8,6,10,30,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\db\backends\oracle\operations.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\db\backends\oracle\operations.py,35,18,42,30,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\db\backends\postgis\adapter.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\db\backends\postgis\adapter.py,14,8,9,30,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\collections.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\collections.py,21,13,16,22,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\coordseq.py,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\django\contrib\gis\geos\coordseq.py,54,35,18,18,0,0
