snapshot_path,repo_commit,file_path,pylint_score,pylint_msgs,radon_cc_total,bandit_issues_count
snapshots\78eaae9bf16f455c3a35234e0a04c08d5c82f808\setup.py,snapshots,78eaae9bf16f455c3a35234e0a04c08d5c82f808\setup.py,,1,0,0
snapshots\c1d50b901b50672a46e7e5fe473c14da1616fc4e\setup.py,snapshots,c1d50b901b50672a46e7e5fe473c14da1616fc4e\setup.py,,1,0,0
snapshots\ffff17d4b0117cce59f65c9f56fa164694eafd23\django\db\backends\mysql\schema.py,snapshots,ffff17d4b0117cce59f65c9f56fa164694eafd23\django\db\backends\mysql\schema.py,,1,0,0
snapshots\ffff17d4b0117cce59f65c9f56fa164694eafd23\tests\migrations\test_operations.py,snapshots,ffff17d4b0117cce59f65c9f56fa164694eafd23\tests\migrations\test_operations.py,,1,0,0
snapshots\ec0ff406311de88f4e2a135d784363424fe602aa\setup.py,snapshots,ec0ff406311de88f4e2a135d784363424fe602aa\setup.py,,1,0,0
snapshots\ffff17d4b0117cce59f65c9f56fa164694eafd23\django\db\backends\oracle\schema.py,snapshots,ffff17d4b0117cce59f65c9f56fa164694eafd23\django\db\backends\oracle\schema.py,,1,0,0
snapshots\fffeb5df554c93f0f9e634a820323b4771e9bfc7\django\contrib\auth\backends.py,snapshots,fffeb5df554c93f0f9e634a820323b4771e9bfc7\django\contrib\auth\backends.py,,1,0,0
snapshots\ffff17d4b0117cce59f65c9f56fa164694eafd23\django\db\backends\postgresql\schema.py,snapshots,ffff17d4b0117cce59f65c9f56fa164694eafd23\django\db\backends\postgresql\schema.py,,1,0,0
snapshots\fffa64abc3870989d62659453cb302857c539956\tests\humanize_tests\tests.py,snapshots,fffa64abc3870989d62659453cb302857c539956\tests\humanize_tests\tests.py,,1,0,0
snapshots\fff4870bfa7ed4d9ab6be0060364b23c66ad1af0\tests\utils_tests\test_dateparse.py,snapshots,fff4870bfa7ed4d9ab6be0060364b23c66ad1af0\tests\utils_tests\test_dateparse.py,,1,0,0
snapshots\fffa64abc3870989d62659453cb302857c539956\django\utils\numberformat.py,snapshots,fffa64abc3870989d62659453cb302857c539956\django\utils\numberformat.py,,1,0,0
snapshots\fff4870bfa7ed4d9ab6be0060364b23c66ad1af0\django\utils\dateparse.py,snapshots,fff4870bfa7ed4d9ab6be0060364b23c66ad1af0\django\utils\dateparse.py,,1,0,0
snapshots\fff14736f1cc594f79ea0e2656b8375d837b7aca\tests\async\test_async_queryset.py,snapshots,fff14736f1cc594f79ea0e2656b8375d837b7aca\tests\async\test_async_queryset.py,,1,0,0
snapshots\fff14736f1cc594f79ea0e2656b8375d837b7aca\django\db\models\query.py,snapshots,fff14736f1cc594f79ea0e2656b8375d837b7aca\django\db\models\query.py,,1,0,0
snapshots\ffe756d6242d513bfbba9686b5a3d90f0a67c214\django\db\backends\oracle\features.py,snapshots,ffe756d6242d513bfbba9686b5a3d90f0a67c214\django\db\backends\oracle\features.py,,1,0,0
snapshots\ffe756d6242d513bfbba9686b5a3d90f0a67c214\django\db\backends\base\features.py,snapshots,ffe756d6242d513bfbba9686b5a3d90f0a67c214\django\db\backends\base\features.py,,1,0,0
snapshots\ffe756d6242d513bfbba9686b5a3d90f0a67c214\django\db\backends\postgresql\features.py,snapshots,ffe756d6242d513bfbba9686b5a3d90f0a67c214\django\db\backends\postgresql\features.py,,1,0,0
snapshots\ffdee8d2645227748ae4061f21fc48cca4d75c22\tests\csrf_tests\tests.py,snapshots,ffdee8d2645227748ae4061f21fc48cca4d75c22\tests\csrf_tests\tests.py,,1,0,0
snapshots\ffe756d6242d513bfbba9686b5a3d90f0a67c214\django\db\backends\sqlite3\features.py,snapshots,ffe756d6242d513bfbba9686b5a3d90f0a67c214\django\db\backends\sqlite3\features.py,,1,0,0
snapshots\ffc0d57a04141b6bc8f1263849cfcc9566cf63a8\tests\runtests.py,snapshots,ffc0d57a04141b6bc8f1263849cfcc9566cf63a8\tests\runtests.py,,1,0,0
snapshots\ff8e5eacda630a0ccab340fd7da609e4162b390c\docs\conf.py,snapshots,ff8e5eacda630a0ccab340fd7da609e4162b390c\docs\conf.py,,1,0,0
snapshots\ff8e5eacda630a0ccab340fd7da609e4162b390c\django\__init__.py,snapshots,ff8e5eacda630a0ccab340fd7da609e4162b390c\django\__init__.py,,1,0,0
snapshots\ff835f439cb1ecd8d74a24de12e3c03e5477dc9d\django\core\handlers\exception.py,snapshots,ff835f439cb1ecd8d74a24de12e3c03e5477dc9d\django\core\handlers\exception.py,,1,0,0
snapshots\ff835f439cb1ecd8d74a24de12e3c03e5477dc9d\tests\logging_tests\tests.py,snapshots,ff835f439cb1ecd8d74a24de12e3c03e5477dc9d\tests\logging_tests\tests.py,,1,0,0
snapshots\ff514309e178e3955012050ead9b8fc66dc21a5b\django\middleware\csrf.py,snapshots,ff514309e178e3955012050ead9b8fc66dc21a5b\django\middleware\csrf.py,,1,0,0
snapshots\ff661dbd506efbdf51cc8da89cb98731c8a62f49\django\utils\tree.py,snapshots,ff661dbd506efbdf51cc8da89cb98731c8a62f49\django\utils\tree.py,,1,0,0
snapshots\ff514309e178e3955012050ead9b8fc66dc21a5b\tests\csrf_tests\tests.py,snapshots,ff514309e178e3955012050ead9b8fc66dc21a5b\tests\csrf_tests\tests.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\auth_tests\test_validators.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\auth_tests\test_validators.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\admin_views\tests.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\admin_views\tests.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\admin_views\models.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\admin_views\models.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\model_fields\test_binaryfield.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\model_fields\test_binaryfield.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\postgres_tests\test_constraints.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\postgres_tests\test_constraints.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\backends\tests.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\backends\tests.py,,1,0,0
snapshots\ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\serializers\test_xml.py,snapshots,ff3aaf036f0cb66cd8f404cd51c603e68aaa7676\tests\serializers\test_xml.py,,1,0,0
