file_path,radon_total_complexity,pylint_msgs_count,bandit_issues_count
django/db/models/fields/__init__.py,690,251,1
django/db/models/fields/__init__.py,690,251,1
django/db/models/fields/__init__.py,687,251,1
django/db/models/fields/__init__.py,687,251,1
django/db/models/fields/__init__.py,687,249,1
django/db/models/fields/__init__.py,687,249,1
django/db/models/fields/__init__.py,687,249,1
django/db/models/fields/__init__.py,687,249,1
django/db/models/fields/__init__.py,687,249,1
django/db/models/fields/__init__.py,687,249,1
django/db/models/fields/__init__.py,687,247,1
django/db/models/fields/__init__.py,687,247,1
django/db/models/fields/__init__.py,686,251,1
django/db/models/fields/__init__.py,686,249,1
django/db/models/fields/__init__.py,686,249,1
django/db/models/fields/__init__.py,686,249,1
django/db/models/fields/__init__.py,686,248,1
django/db/models/fields/__init__.py,686,248,1
django/db/models/fields/__init__.py,686,247,1
django/db/models/fields/__init__.py,685,249,1
