commit_hash,commit_date,author,file_path,is_fix_like,snapshot_path
c9677d6a7d42aa7162a4c448284b8db1cabde0b0,2020-12-10T08:19:03-07:00,Matthew Calcote,sklearn/metrics/_classification.py,0,snapshots\c9677d6a7d42aa7162a4c448284b8db1cabde0b0\sklearn\metrics\_classification.py
8ebb614a8dc09c7baccb45c6a2cd7d087d8e2ed6,2020-12-11T15:57:15-06:00,novaya,sklearn/decomposition/_base.py,0,snapshots\8ebb614a8dc09c7baccb45c6a2cd7d087d8e2ed6\sklearn\decomposition\_base.py
d953f74902e6a3f04a1476a9e7170948be40827a,2020-12-14T16:39:43+01:00,Juan Carlos Alfaro Jiménez,setup.py,0,snapshots\d953f74902e6a3f04a1476a9e7170948be40827a\setup.py
0937b4ab48136eb161ead4abd4806d0708b1bb4c,2020-12-14T17:50:58+02:00,David Katz,sklearn/impute/_base.py,1,snapshots\0937b4ab48136eb161ead4abd4806d0708b1bb4c\sklearn\impute\_base.py
0937b4ab48136eb161ead4abd4806d0708b1bb4c,2020-12-14T17:50:58+02:00,David Katz,sklearn/impute/tests/test_impute.py,1,snapshots\0937b4ab48136eb161ead4abd4806d0708b1bb4c\sklearn\impute\tests\test_impute.py
e55795b501770c4eab21b35361d108024059b2b4,2020-12-15T10:24:00+01:00,Olivier Grisel,sklearn/__init__.py,0,snapshots\e55795b501770c4eab21b35361d108024059b2b4\sklearn\__init__.py
8e9ced237b95fd2c90d239c0b0e4b4a90b1c338f,2020-12-15T10:37:12+01:00,Frans Larsson,sklearn/utils/sparsefuncs.py,1,snapshots\8e9ced237b95fd2c90d239c0b0e4b4a90b1c338f\sklearn\utils\sparsefuncs.py
eedda91913983e774fe32e11f10ffab92cf137bf,2020-12-16T03:58:39-05:00,Thomas J. Fan,sklearn/datasets/_kddcup99.py,1,snapshots\eedda91913983e774fe32e11f10ffab92cf137bf\sklearn\datasets\_kddcup99.py
eedda91913983e774fe32e11f10ffab92cf137bf,2020-12-16T03:58:39-05:00,Thomas J. Fan,sklearn/datasets/tests/test_common.py,1,snapshots\eedda91913983e774fe32e11f10ffab92cf137bf\sklearn\datasets\tests\test_common.py
38b7155b11946ac2e97883424db8339ac95e3d93,2020-12-16T01:07:42-08:00,Neal Fultz,sklearn/isotonic.py,1,snapshots\38b7155b11946ac2e97883424db8339ac95e3d93\sklearn\isotonic.py
e1408d05c56a9cee22127b2edb9e5ecbd26852bc,2020-12-17T02:32:24-06:00,Brian Rice,sklearn/linear_model/_ridge.py,1,snapshots\e1408d05c56a9cee22127b2edb9e5ecbd26852bc\sklearn\linear_model\_ridge.py
e1408d05c56a9cee22127b2edb9e5ecbd26852bc,2020-12-17T02:32:24-06:00,Brian Rice,sklearn/linear_model/tests/test_ridge.py,1,snapshots\e1408d05c56a9cee22127b2edb9e5ecbd26852bc\sklearn\linear_model\tests\test_ridge.py
51bd34378f9c9c813c44778b9b03a6925ee6dc2c,2020-12-18T11:17:22+01:00,Guillaume Lemaitre,doc/conftest.py,0,snapshots\51bd34378f9c9c813c44778b9b03a6925ee6dc2c\doc\conftest.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/base.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\base.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/calibration.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\calibration.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/cluster/_affinity_propagation.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\cluster\_affinity_propagation.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/cluster/_bicluster.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\cluster\_bicluster.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/cluster/_kmeans.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\cluster\_kmeans.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/cluster/_spectral.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\cluster\_spectral.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/cluster/tests/test_affinity_propagation.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\cluster\tests\test_affinity_propagation.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/cluster/tests/test_bicluster.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\cluster\tests\test_bicluster.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/cluster/tests/test_k_means.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\cluster\tests\test_k_means.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/cluster/tests/test_spectral.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\cluster\tests\test_spectral.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/covariance/_graph_lasso.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\covariance\_graph_lasso.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/covariance/tests/test_graphical_lasso.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\covariance\tests\test_graphical_lasso.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/cross_decomposition/_pls.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\cross_decomposition\_pls.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/cross_decomposition/tests/test_pls.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\cross_decomposition\tests\test_pls.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/decomposition/_dict_learning.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\decomposition\_dict_learning.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/decomposition/_kernel_pca.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\decomposition\_kernel_pca.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/decomposition/_nmf.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\decomposition\_nmf.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/decomposition/tests/test_dict_learning.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\decomposition\tests\test_dict_learning.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/decomposition/tests/test_kernel_pca.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\decomposition\tests\test_kernel_pca.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/decomposition/tests/test_nmf.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\decomposition\tests\test_nmf.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/ensemble/_forest.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\ensemble\_forest.py
2218ec46227c92301ac6837c4a8ae9b8dc5d3960,2020-12-18T17:09:19+01:00,Guillaume Lemaitre,sklearn/ensemble/_gb.py,0,snapshots\2218ec46227c92301ac6837c4a8ae9b8dc5d3960\sklearn\ensemble\_gb.py
